"Feature","Importance","Gene Symbol","Gene Title","ENTREZ_GENE_ID","logFC","P.Value","adj.P.Val"
"X206848_at",0.00331032259248917,NA,NA,NA,NA,NA,NA
"X211211_x_at",0.00291162492040604,NA,NA,NA,NA,NA,NA
"X227232_at",0.00252882179402602,NA,NA,NA,NA,NA,NA
"X220570_at",0.00211553731093653,NA,NA,NA,NA,NA,NA
"X211209_x_at",0.00206592971260518,NA,NA,NA,NA,NA,NA
"X202934_at",0.00196606837640837,NA,NA,NA,NA,NA,NA
"X204118_at",0.00179869743895922,NA,NA,NA,NA,NA,NA
"X206666_at",0.00176813619012164,NA,NA,NA,NA,NA,NA
"X227957_at",0.00172058418096475,NA,NA,NA,NA,NA,NA
"X1556055_at",0.0016335521045871,NA,NA,NA,NA,NA,NA
"X230267_at",0.00161249937680294,NA,NA,NA,NA,NA,NA
"X206559_x_at",0.00157385540296181,NA,NA,NA,NA,NA,NA
"X201736_s_at",0.00147436325344476,NA,NA,NA,NA,NA,NA
"X226733_at",0.00131451413328479,NA,NA,NA,NA,NA,NA
"X225330_at",0.00129349934167302,NA,NA,NA,NA,NA,NA
"X213583_x_at",0.00126346088905777,NA,NA,NA,NA,NA,NA
"X204970_s_at",0.00126341902065896,NA,NA,NA,NA,NA,NA
"X217464_at",0.00113985404173722,NA,NA,NA,NA,NA,NA
"X226318_at",0.00110656654713094,NA,NA,NA,NA,NA,NA
"X212391_x_at",0.00110060512905602,NA,NA,NA,NA,NA,NA
"X235697_at",0.00106726120430983,NA,NA,NA,NA,NA,NA
"X211972_x_at",0.00104827030120111,NA,NA,NA,NA,NA,NA
"X206697_s_at",0.00103344430743959,NA,NA,NA,NA,NA,NA
"X237299_at",0.000978363256981579,NA,NA,NA,NA,NA,NA
"X229671_s_at",0.000961332428256807,NA,NA,NA,NA,NA,NA
"X216451_at",0.000892821260634343,NA,NA,NA,NA,NA,NA
"X212768_s_at",0.000886928349803749,NA,NA,NA,NA,NA,NA
"X208705_s_at",0.000849155789500249,NA,NA,NA,NA,NA,NA
"X208856_x_at",0.000837295741283527,NA,NA,NA,NA,NA,NA
"X206090_s_at",0.00082362562145014,NA,NA,NA,NA,NA,NA
"X222639_s_at",0.000820008613082966,NA,NA,NA,NA,NA,NA
"X212531_at",0.000814132942680509,NA,NA,NA,NA,NA,NA
"X223393_s_at",0.000802859371271262,NA,NA,NA,NA,NA,NA
"X216748_at",0.000753319268315368,NA,NA,NA,NA,NA,NA
"X210426_x_at",0.000742926451318692,NA,NA,NA,NA,NA,NA
"X228180_at",0.000732738172404039,NA,NA,NA,NA,NA,NA
"X209954_x_at",0.000708343478747894,NA,NA,NA,NA,NA,NA
"X228285_at",0.00069735408145017,NA,NA,NA,NA,NA,NA
"X235927_at",0.000697146892459836,NA,NA,NA,NA,NA,NA
"X217958_at",0.000694865447839391,NA,NA,NA,NA,NA,NA
"X225056_at",0.000686722466486316,NA,NA,NA,NA,NA,NA
"X200099_s_at",0.000632315043109429,NA,NA,NA,NA,NA,NA
"X213198_at",0.00061893992881219,NA,NA,NA,NA,NA,NA
"X201785_at",0.000611647645452479,NA,NA,NA,NA,NA,NA
"X220034_at",0.000602325523541773,NA,NA,NA,NA,NA,NA
"X204448_s_at",0.000587271917948881,NA,NA,NA,NA,NA,NA
"X212392_s_at",0.000565908859523505,NA,NA,NA,NA,NA,NA
"X214167_s_at",0.000562079202004653,NA,NA,NA,NA,NA,NA
